epoch,acc,loss
0,0.968562065175367,0.086806900875683
1,0.9945488147264995,0.01602917044871364
2,0.9973361456294368,0.009515376474945339
3,0.997566905050595,0.008521718249653133
4,0.9977369383082906,0.007955572286703828
5,0.9978017128826507,0.007509873885119157
6,0.9980142544547701,0.006940843886771121
7,0.9981519004252856,0.006545949158242835
8,0.9982652559304159,0.00610475740539786
9,0.9983462241483662,0.005962372366247064
10,0.9984029019009313,0.00569434688929325
11,0.9984899427352278,0.0055302972627565925
12,0.9985364994605492,0.005388409391605865
13,0.9986073466512557,0.005249349640703938
14,0.9986437823493334,0.005084430131157069
15,0.9986640244038208,0.0049135613225142535
16,0.9986700970201672,0.004903830428417629
17,0.9986761696365134,0.004735304360063523
18,0.9987146295400398,0.004560572690499389
19,0.9987551136490149,0.004587814644053961
20,0.9987551136490149,0.004405046793537544
21,0.9987875009361951,0.004387306561140977
22,0.9988057187852338,0.004293657031587447
23,0.9988603723323503,0.0042195389678373755
24,0.998878590181389,0.004146853718121786
25,0.9988644207432478,0.004146254933296341
26,0.9989291953176079,0.004038130973516957
27,0.9989555099884417,0.0040054523967650475
28,0.9989130016740179,0.0039890542648255665
29,0.9988968080304279,0.003938391490148872
30,0.9989696794265831,0.0038776534198987933
31,0.9989312195230567,0.003850964505283705
32,0.998953485782993,0.0037122299545045674
33,0.9990081393301095,0.00384893007111472
34,0.9989878972756219,0.003755656554432093
35,0.9990182603573532,0.003690103419087984
36,0.9989798004538268,0.003671608739320158
37,0.9990081393301095,0.0036525440818807346
38,0.9990263571791482,0.003623443574710909
39,0.9990891075480597,0.003568542266228958
40,0.9990142119464557,0.0036305274011188046
41,0.9990304055900457,0.003577353826686959
42,0.9990729139044696,0.0034599363103744504
43,0.9990304055900457,0.0035003691604315254
44,0.9990506476445333,0.0034554387460712746
45,0.9990972043698547,0.0034000524551867036
46,0.9990972043698547,0.0033924014955755304
47,0.9991032769862009,0.003364597969143737
48,0.999095180164406,0.0033958757232691486
49,0.9990891075481804,0.0033222766453294378
50,0.9990972043698547,0.00334617941891637
51,0.9991316158624836,0.0033260077961826764
52,0.9991397126842786,0.003339088090099715
53,0.9990931559589572,0.0032870831359478195
54,0.999119470629791,0.0032987312024059523
55,0.9991174464243423,0.0033043032642725355
56,0.999119470629791,0.003243550828976004
57,0.9991397126842786,0.003150109115132145
58,0.9991680515605612,0.0032103434614292117
59,0.9991235190406885,0.0032326436764849656
60,0.9991559063278687,0.003159665079320456
61,0.9991295916570349,0.003208399556717834
62,0.9991680515605612,0.0031696661597153
63,0.9991478095060736,0.0031369473405084935
64,0.9991660273551124,0.0030789362850579607
65,0.9991559063278687,0.0030877190982250597
66,0.9991437610951761,0.0031453255206190206
67,0.9991417368897274,0.003096631656958295
68,0.9991397126842786,0.0031423606971893543
69,0.9991538821224198,0.003149210507543965
70,0.9991437610951761,0.003073853921448998
71,0.9991741241769074,0.003003748539043701
72,0.9992044872586388,0.003051537963118519
73,0.9991842452041513,0.0030513884576189258
74,0.9991882936150488,0.003052711130479887
75,0.9991842452041513,0.0030308621468854197
76,0.9991376884788299,0.0030351980507122606
77,0.9992267535185752,0.0029891327625661593
78,0.9991862694096,0.003018774398851532
79,0.9991801967932538,0.0029761460758322956
80,0.9992085356695363,0.002962227875299884
81,0.9991680515605612,0.0029523755470066953
82,0.9992044872586388,0.002910642093008492
83,0.9991963904368438,0.002979864429559613
84,0.9991903178204975,0.0029890207689860365
85,0.9992004388477413,0.002948132234664348
86,0.999178172587805,0.002948894535085085
87,0.9992146082858826,0.0029466079404186635
88,0.9992227051076776,0.00290284448870185
89,0.9992510439839601,0.002871144717876078
90,0.9992206809022288,0.0028324427130668383
91,0.9991801967932538,0.0028659745112980515
92,0.9991822209987025,0.002866343542896163
93,0.9992449713676139,0.0028891695353741643
94,0.9992044872586388,0.002879672023198676
95,0.9992105598749851,0.0028352224421692085
96,0.9992490197785114,0.0027718423841850263
97,0.9992308019294727,0.0028167156735957916
98,0.9992490197785114,0.0028067706705291536
99,0.9992571166003065,0.0027770763428600687
